wiI7pd,,
"When Khalid motor started working, it was amazing in services, timely and efficiently, but with time as it goes older services get declined. Staff do things unprofessional and services was disappointing, for one things need several visit to fix.
It's just ok",,
Not so good,,Like
Good,,
Deteriorating service due to circumstances,,Like
? …,,Like
Sss services in town,,Like
Gud work,,Like
Buyed my second new car,,Like
Little bits better,,
Very Professional Staff,,Like
Staff wasn't cooperative,,
Suzuki trusted showroom for cars and bikes,,Like
Very good,,Like
Good Suzuki vehicles dealership,,Like
Educated staff and coporative staff,,Like
Good mechanical work,,Like
Bad,,Like
Old working place,,Like
Available all Suzuki barnds,,Like
Good service..,,Like
Good view outside,,
Very good,,Like
Good experience....,,Like
Average service and area,,Like
All service's available,,Like
Excelent services,,Like
Good,,Like
Very good,,Like
Good one,,Like
Good ? …,,Like
v. good,,Like
suzuki sale service and spares dealer,,Like
Best for your suzuki,,Like
Good fair enough,,Like
very nice,,Like
Good service,,Like
V good,,Like
Exchange of car is just Drama,,Like
Excellent service!,,
Helpful,,Like
Good one,,Like
Liters had bhai. .,,Like
Very nic,,Like
Staff is lazy.,,Like
Suzuki car best showroom,,Like
S s s,,Like
Best service,,Like
These are thieves,,Like
Good service,,
No customer guidance,,Like
Not good,,Like
Good Show Room,,Like
Very Expensive..,,Like
Good service,,Like
Good service,,Like
Nice !,,Like
Not a good deiler,,Like
Very expensive maintenance,,Like
Good services,,Share
Best,,Like
Good service,,Like
Satisfactory sevice,,Like
highly Recommend,,Like
Excellent service,,Like
Good staff,,Like
Good service,,Like
Good service,,
Good service,,Like
Good service,,Like
Good service,,Like
Very bad,,Like
Professional team at work,,Like
Good for service,,Like
Good experience,,Like
Great Services,,Like
Good stock of cars,,Like
Good services,,Like
I like it,,Like
Great Experience,,Like
?? …,,Like
Co operative staff,,Like
Good hospitality,,Like
good service,,Like
Good enivornement,,Like
Nice ? …,,Like
Good? …,,Like
Bad service,,Like
I purchase new car,,Like
Best Place,,Like
Great..,,Like
Nice dealing,,Like
Good place,,Like
Nice place,,Like
Didn't visit,,Like
suzuki car sale centre,,Like
Good,,
Badest experience,,Like
Asdf,,Like
Good,,Like
Friendly staff.,,
Its OK guyz...,,Like
Good  position,,Like
nice place,,Like
Average service,,Like
Its okay.,,Like
Poor service,,Like
Parts are costly,,Like
Easily accessible....,,Like
Great work,,Like
So so,,Like
Satisfied work,,Like
Average Service,,Like
Great place to in,,Like
So expensive,,Like
Skilled staff,,Like
Bad location,,Like
Official Suzuki Motors workshop,,Like
Excellent proteomics,,Like
I like it,,
Dnt know about it,,Like
Just buy a car,,Like
Inexperienced technicians.,,Like
Accumudating staff,,Like
It was good,,Like
Very costly,,Like
Good,,Like
ok,,Like
Expert in auto mobile,,Like
Yes i know,,Like
Nice expertise,,Like
Nice,,Like
Poor service,,Like
Non cooperative,,Like
Excellent,,Like
Nicw,,Like
Ok,,Like
Ok,,Like
Good Suzuki mot,,
Professional staff,,Like
True professional,,Like
Ok,,Like
Good,,Like
True professionals,,Like
Ok,,Like
Best,,Like
good,,Like
Good,,Like
Brought car from here,,Like
Humble,,Like
nice,,Share
Good,,Like
Good,,Like
Good,,Like
Professional staff,,Like
Cool,,Like
Good,,Like
Good,,Like
Good,,Like
good,,Like
Good,,Like
Good,,Like
Good,,Like
Good,,Like
Nice,,Like
Good,,Like
Good,,Like
Good,,Like
Excellent,,Like
